Week,Tier,Player,Opponent,Goal,Time (mins),Start URL,End URL
1,A,Gurizuri,Mordaak,Defeat a boss in 3 different games,10.1,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3115,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3720
1,A,Mordaak,Gurizuri,"MORTOL II: In one run, defeat at least 2 enemies with each player class",4.0,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3665,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3905
1,A,Mordaak,Gurizuri,CARAMEL CARAMEL: TEST-LENS allowed; defeat Dino Lord in Dino Planet,3.9,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=3905,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=4140
1,A,Mordaak,Gurizuri,UFO OPEN: Golfaria: Hit a Parbot; Pingolf: Gold Disk; Lords of Diskonia: Destroy 5 enemy disks,10.6,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=4140,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=4775
1,A,Mordaak,Gurizuri,DIVERS: Open the chest containing the Parasite Hammer,2.0,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=4775,https://www.youtube.com/watch?v=EAkWHKjCxPY&t=4895
1,A,stnfwds,Spooty,DEVILITION: Beat 5 rounds,3.5,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=405,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=615
1,A,Spooty,stnfwds,MORTOL: Beat a level with a total of 30 or more additional lives than you began the run with,4.9,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=405,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=700
1,A,stnfwds,Spooty,WALDORF’S JOURNEY: Read 5 signs,2.2,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=615,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=745
1,A,Spooty,stnfwds,MORTOL: LEAF-HEAD allowed; turn 10 enemies into vines,3.1,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=700,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=885
1,A,stnfwds,Spooty,Buy an item from a shop in 8 different games,2.4,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=745,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=890
1,A,stnfwds,Spooty,OVERBOLD: Max out four upgrades,3.1,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=890,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1075
1,A,Spooty,stnfwds,STAR WASPIR: Clear wave 3,5.7,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=885,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1225
1,A,Spooty,stnfwds,THE BIG BELL RACE: KO an opponent with 3 unique power-ups,1.1,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1225,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1290
1,A,stnfwds,Spooty,CAMPANELLA: Have 15 lives,4.2,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1075,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1330
1,A,stnfwds,Spooty,MINI & MAX: Slay the Water Bear in the west pot,2.2,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1330,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1460
1,A,Spooty,stnfwds,PORGY: Reach the Abyss (lowest depth area),3.2,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1290,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1485
1,A,Spooty,stnfwds,Enter a top 5 score on 3 arcade leaderboards,4.8,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1485,https://www.youtube.com/watch?v=bQABk_tPZ-c&t=1770
1,A,RedRobot,Matt,MAGIC GARDEN: Save 10+ oppies at once twice,1.3,https://www.twitch.tv/videos/2425145393?t=3m24s,https://www.twitch.tv/videos/2425145393?t=4m44s
1,A,RedRobot,Matt,PLANET ZOLDATH: Max out health by collecting 4 energy cubes,2.6,https://www.twitch.tv/videos/2425145393?t=4m44s,https://www.twitch.tv/videos/2425145393?t=7m19s
1,A,RedRobot,Matt,Collect a food item in 5 different games,2.3,https://www.twitch.tv/videos/2425145393?t=7m19s,https://www.twitch.tv/videos/2425145393?t=9m39s
1,A,Matt,RedRobot,NIGHT MANOR: Successfully complete the hiding minigame twice,7.1,https://www.twitch.tv/videos/2425145393?t=3m24s,https://www.twitch.tv/videos/2425145393?t=10m29s
1,A,RedRobot,Matt,CAMPANELLA 2: Obtain the Friendship Bracelet,4.6,https://www.twitch.tv/videos/2425145393?t=9m39s,https://www.twitch.tv/videos/2425145393?t=14m14s
1,A,RedRobot,Matt,"RAKSHASA: Score 25,000",5.1,https://www.twitch.tv/videos/2425145393?t=14m14s,https://www.twitch.tv/videos/2425145393?t=19m19s
1,A,Matt,RedRobot,ROCK ON! ISLAND: CLUB-PASS allowed; beat Terror Overhead,17.0,https://www.twitch.tv/videos/2425145393?t=10m29s,https://www.twitch.tv/videos/2425145393?t=27m29s
1,A,Matt,RedRobot,BLOCK KOALA: Beat 2 story levels as Koalarana (Pink Koala),4.9,https://www.twitch.tv/videos/2425145393?t=27m29s,https://www.twitch.tv/videos/2425145393?t=32m24s
1,A,RedRobot,Matt,COMBATANTS: Beat ‘First Blood’ without shooting,13.2,https://www.twitch.tv/videos/2425145393?t=19m19s,https://www.twitch.tv/videos/2425145393?t=32m34s
1,A,RedRobot,Matt,MORTOL: Clear all levels in World 1,4.9,https://www.twitch.tv/videos/2425145393?t=32m34s,https://www.twitch.tv/videos/2425145393?t=37m29s
1,A,Matt,RedRobot,STAR WASPIR: Clear wave 3,5.9,https://www.twitch.tv/videos/2425145393?t=32m24s,https://www.twitch.tv/videos/2425145393?t=38m19s
1,A,RedRobot,Matt,MORTOL II: Collect 10 keys,4.4,https://www.twitch.tv/videos/2425145393?t=37m29s,https://www.twitch.tv/videos/2425145393?t=41m54s
1,A,RedRobot,Matt,PORGY: Reach the Abyss (lowest depth area),4.0,https://www.twitch.tv/videos/2425145393?t=41m54s,https://www.twitch.tv/videos/2425145393?t=45m54s
1,A,RedRobot,Matt,MINI & MAX: Return the stolen Termite Egg to the outlet,3.9,https://www.twitch.tv/videos/2425145393?t=45m54s,https://www.twitch.tv/videos/2425145393?t=49m49s
1,A,Matt,RedRobot,VAINGER: Collect 5 items,13.2,https://www.twitch.tv/videos/2425145393?t=38m19s,https://www.twitch.tv/videos/2425145393?t=51m29s
1,A,RedRobot,Matt,Collect 10 gifts for the garden,11.5,https://www.twitch.tv/videos/2425145393?t=49m49s,https://www.twitch.tv/videos/2425145393?t=1h1m19s
1,A,Matt,RedRobot,PARTY HOUSE: Beat a random scenario having purchased the maximum number of Old Friends and Rich Pals,17.7,https://www.twitch.tv/videos/2425145393?t=51m29s,https://www.twitch.tv/videos/2425145393?t=1h9m9s
1,A,RedRobot,Matt,THE BIG BELL RACE: Gold disk,8.0,https://www.twitch.tv/videos/2425145393?t=1h1m19s,https://www.twitch.tv/videos/2425145393?t=1h9m19s
1,A,RedRobot,Matt,CAMOUFLAGE: Save 5 babies,7.1,https://www.twitch.tv/videos/2425145393?t=1h9m19s,https://www.twitch.tv/videos/2425145393?t=1h16m24s
1,A,Peter Peladon,bob salad,VELGRESS: Clear out a shop’s stock,1.8,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=515,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=620
1,A,Peter Peladon,bob salad,MINI & MAX: Save the brainwashed mouse near the portrait,5.2,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=620,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=935
1,A,bob salad,Peter Peladon,HOT FOOT: Gold disk,8.2,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=515,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1005
1,A,Peter Peladon,bob salad,MAGIC GARDEN: Save 10+ oppies at once twice,1.2,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=935,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1010
1,A,bob salad,Peter Peladon,NIGHT MANOR: Gold disk,2.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1005,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1160
1,A,Peter Peladon,bob salad,BLOCK KOALA: Beat 2 story levels as Koalarana (Pink Koala),2.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1010,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1165
1,A,bob salad,Peter Peladon,RAKSHASA: Beat the first Mid Boss w/ 4+ skulls,2.2,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1160,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1295
1,A,Peter Peladon,bob salad,PORGY: Collect the Buster Torpedos,2.8,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1165,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1335
1,A,Peter Peladon,bob salad,CAMOUFLAGE: Save 5 babies,4.8,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1335,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1620
1,A,bob salad,Peter Peladon,WARPTANK: Beat 6 levels,11.8,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1295,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2005
1,A,Peter Peladon,bob salad,PLANET ZOLDATH: Collect the overworld ground Map Piece,7.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=1620,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2075
1,A,bob salad,Peter Peladon,BUG HUNTER: Complete a job with your energy maxed out,4.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2005,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2280
1,A,Peter Peladon,bob salad,VAINGER: Collect 5 items,8.4,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2075,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2580
1,A,Peter Peladon,bob salad,Buy an item from a shop in 8 different games,3.9,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2580,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2815
1,A,Peter Peladon,bob salad,BARBUTA: Visit at least 25 rooms,6.1,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2815,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3180
1,A,bob salad,Peter Peladon,"CARAMEL CARAMEL: Score 50,000+ points",19.1,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=2280,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3425
1,A,Peter Peladon,bob salad,CAMOUFLAGE: Escape with 3/3 collectibles on 5 levels,6.3,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3180,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3560
1,A,bob salad,Peter Peladon,MORTOL: Clear all levels in World 1,9.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3425,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4000
1,A,Peter Peladon,bob salad,PORGY: Return 5 fish eggs to their mother,8.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=3560,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4075
1,A,bob salad,Peter Peladon,MORTOL: OPEN-TOMB allowed; clear all world 2 levels,8.6,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4000,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4515
1,A,bob salad,Peter Peladon,Enter a top 5 score on 5 arcade leaderboards,4.3,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4515,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4775
1,A,bob salad,Peter Peladon,Collect 15 gifts for the garden,7.1,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=4775,https://www.youtube.com/watch?v=TNaqMCMXbdE&t=5200
1,A,Cosmoing,glove,WARPTANK: Complete the three levels in the initial hub room,2.0,https://www.youtube.com/watch?v=0XXkcaqShmo&t=699,https://www.youtube.com/watch?v=0XXkcaqShmo&t=819
1,A,glove,Cosmoing,MAGIC GARDEN: Defeat an enemy worth at least 500 points,3.2,https://www.youtube.com/watch?v=0XXkcaqShmo&t=699,https://www.youtube.com/watch?v=0XXkcaqShmo&t=894
1,A,Cosmoing,glove,AVIANOS: Max out blessings from one Ancestor,3.6,https://www.youtube.com/watch?v=0XXkcaqShmo&t=819,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1034
1,A,Cosmoing,glove,CAMOUFLAGE: Collect 10 oranges,4.2,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1034,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1289
1,A,Cosmoing,glove,"NINPEK: Score 16,000+ points",4.0,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1289,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1529
1,A,Cosmoing,glove,HYPER CONTENDER: Gold disk,7.7,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1529,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1989
1,A,glove,Cosmoing,PORGY: Collect 3 torpedo upgrades,19.6,https://www.youtube.com/watch?v=0XXkcaqShmo&t=894,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2069
1,A,glove,Cosmoing,ELFAZAR’S HAT: Clear Stage 3 (Frostin Town),9.2,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2069,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2619
1,A,Cosmoing,glove,PLANET ZOLDATH: Collect the dungeon Map Piece,12.8,https://www.youtube.com/watch?v=0XXkcaqShmo&t=1989,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2759
1,A,glove,Cosmoing,Enter a top 5 score on 3 arcade leaderboards,15.6,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2619,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3554
1,A,glove,Cosmoing,MINI & MAX: Slay the Water Bear in the west pot,4.9,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3554,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3849
1,A,glove,Cosmoing,Defeat 10 bosses,0.0,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3849,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3849
1,A,glove,Cosmoing,BUG HUNTER: Use 3 different 4-cost modules in one job,2.8,https://www.youtube.com/watch?v=0XXkcaqShmo&t=3849,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4014
1,A,Cosmoing,glove,Find an egg in 8 games,26.2,https://www.youtube.com/watch?v=0XXkcaqShmo&t=2759,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4329
1,A,glove,Cosmoing,Buy an item from a shop in 8 different games,5.1,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4014,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4319
1,A,glove,Cosmoing,MOONCAT: Use 2 warps,2.0,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4319,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4439
1,A,Cosmoing,glove,COMBATANTS: Beat 4 levels,11.0,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4329,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4989
1,A,glove,Cosmoing,MORTOL: Beat a level with a total of 30 or more additional lives than you began the run with,12.6,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4439,https://www.youtube.com/watch?v=0XXkcaqShmo&t=5194
1,A,Cosmoing,glove,Collect 15 gifts for the garden,6.8,https://www.youtube.com/watch?v=0XXkcaqShmo&t=4989,https://www.youtube.com/watch?v=0XXkcaqShmo&t=5399
1,A,glove,Cosmoing,OVERBOLD: Complete a wave with $1000+ stakes without using bombs,13.8,https://www.youtube.com/watch?v=0XXkcaqShmo&t=5194,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6024
1,A,Cosmoing,glove,CAMPANELLA: Gold disk,12.9,https://www.youtube.com/watch?v=0XXkcaqShmo&t=5399,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6174
1,A,Cosmoing,glove,WARPTANK: Talk to 3 NPCs,6.2,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6174,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6549
1,A,Cosmoing,glove,GOLFARIA: Hit 3 eagles,6.8,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6549,https://www.youtube.com/watch?v=0XXkcaqShmo&t=6954
1,B,Hugo,boardsofhannahda,WALDORF’S JOURNEY: Purchase four unique items in one run,2.7,https://youtu.be/tr9DHFeiR-U?t=0,https://youtu.be/tr9DHFeiR-U?t=160
1,B,boardsofhannahda,Hugo,ONION DELIVERY: Deliver 8 onions in a single day and complete the day,4.8,https://youtu.be/tr9DHFeiR-U?t=0,https://youtu.be/tr9DHFeiR-U?t=285
1,B,boardsofhannahda,Hugo,PINGOLF: Be in first place in the standings immediately after hole 9,6.9,https://youtu.be/tr9DHFeiR-U?t=285,https://youtu.be/tr9DHFeiR-U?t=700
1,B,Hugo,boardsofhannahda,HYPER CONTENDER: Gold disk,10.2,https://youtu.be/tr9DHFeiR-U?t=160,https://youtu.be/tr9DHFeiR-U?t=770
1,B,boardsofhannahda,Hugo,MINI & MAX: Slay the Water Bear in the west pot,5.2,https://youtu.be/tr9DHFeiR-U?t=700,https://youtu.be/tr9DHFeiR-U?t=1015
1,B,Hugo,boardsofhannahda,CAMPANELLA 3: Beat Galbrain,4.8,https://youtu.be/tr9DHFeiR-U?t=770,https://youtu.be/tr9DHFeiR-U?t=1055
1,B,Hugo,boardsofhannahda,NINPEK: Eat 5 sandwiches,2.2,https://youtu.be/tr9DHFeiR-U?t=1055,https://youtu.be/tr9DHFeiR-U?t=1190
1,B,Hugo,boardsofhannahda,ROCK ON! ISLAND: Have 20 chickens in a main level,8.2,https://youtu.be/tr9DHFeiR-U?t=1190,https://youtu.be/tr9DHFeiR-U?t=1680
1,B,boardsofhannahda,Hugo,STAR WASPIR: Have a 20x multiplier,8.8,https://youtu.be/tr9DHFeiR-U?t=1015,https://youtu.be/tr9DHFeiR-U?t=1540
1,B,boardsofhannahda,Hugo,Enter a top 5 score on 3 arcade leaderboards,8.8,https://youtu.be/tr9DHFeiR-U?t=1540,https://youtu.be/tr9DHFeiR-U?t=2070
1,B,Hugo,boardsofhannahda,PLANET ZOLDATH: Collect the trade Map Piece,20.6,https://youtu.be/tr9DHFeiR-U?t=1680,https://youtu.be/tr9DHFeiR-U?t=2915
1,B,boardsofhannahda,Hugo,Buy an item from a shop in 12 different games,28.6,https://youtu.be/tr9DHFeiR-U?t=2070,https://youtu.be/tr9DHFeiR-U?t=3785
1,B,Hugo,boardsofhannahda,AMY: Hot Foot: Win 2 games with Amy; Fist Hell: Clear 2nd scare as Amy; Party House: Beat a random scenario,20.3,https://youtu.be/tr9DHFeiR-U?t=2915,https://youtu.be/tr9DHFeiR-U?t=4135
1,B,boardsofhannahda,Hugo,"CARAMEL CARAMEL: Score 8,000+ points in the prologue",16.4,https://youtu.be/tr9DHFeiR-U?t=3785,https://youtu.be/tr9DHFeiR-U?t=4770
1,B,boardsofhannahda,Hugo,QUIBBLE RACE: Gold disk,4.4,https://youtu.be/tr9DHFeiR-U?t=4770,https://youtu.be/tr9DHFeiR-U?t=5035
1,B,Hugo,boardsofhannahda,MORTOL II: Gold disk,15.6,https://youtu.be/tr9DHFeiR-U?t=4135,https://youtu.be/tr9DHFeiR-U?t=5070
1,B,Hugo,boardsofhannahda,PAINT CHASE: Beat 12 levels,10.3,https://youtu.be/tr9DHFeiR-U?t=5070,https://youtu.be/tr9DHFeiR-U?t=5690
1,B,Frank,tutes,MORTOL II: Gold disk,4.8,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=243,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=533
1,B,Frank,tutes,RAKSHASA: Beat the first stage,7.3,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=533,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=973
1,B,tutes,Frank,DEVILITION: Beat 5 rounds,12.4,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=243,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=988
1,B,Frank,tutes,Buy an item from a shop in 8 different games,4.5,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=973,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1243
1,B,Frank,tutes,Collect 5 gifts for the garden,5.1,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1243,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1548
1,B,Frank,tutes,Find an easter egg UFO in 3 games,2.6,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1548,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1703
1,B,tutes,Frank,LORDS OF DISKONIA: Win a Quick Battle,14.7,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=988,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1868
1,B,Frank,tutes,CAMPANELLA 3: Beat Galbrain,2.8,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1703,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1873
1,B,Frank,tutes,Defeat a boss in 3 different games,0.1,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1873,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1878
1,B,tutes,Frank,"SEASIDE DRIVE: Clear Stage 1 with 3 lives and exactly 10,000 points (defeat only the boss)",2.4,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1868,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2013
1,B,tutes,Frank,FIST HELL: Clear 2nd Scare,5.9,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2013,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2368
1,B,Frank,tutes,VELGRESS: Gold disk without Jump Pads,8.2,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=1878,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2368
1,B,Frank,tutes,AVIANOS: Max out blessings from one Ancestor,2.7,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2368,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2528
1,B,Frank,tutes,WALDORF’S JOURNEY: Gold disk,4.1,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2528,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2773
1,B,tutes,Frank,ONION DELIVERY: Complete 2 days of deliveries,11.9,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2368,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3083
1,B,Frank,tutes,CARAMEL CARAMEL: Beat the Egg,5.5,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=2773,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3103
1,B,Frank,tutes,Collect a food item in 5 different games,4.7,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3103,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3383
1,B,tutes,Frank,SEASIDE DRIVE: Destroy the UFO in Stage 3,8.2,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3083,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3578
1,B,tutes,Frank,PINGOLF: Be in first place in the standings immediately after hole 9,4.8,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3578,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3863
1,B,Frank,tutes,"NINPEK: Use HARD-LOOP; defeat the boss with a score of 20,000+",9.6,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3383,https://www.youtube.com/watch?v=KI0Ct-OaWwo&t=3958
1,B,Kanvas,Ghost,Find an easter egg UFO in 3 games,3.0,https://www.twitch.tv/videos/2425144861?t=1m46s,https://www.twitch.tv/videos/2425144861?t=4m46s
1,B,Ghost,Kanvas,PORGY: Collect the Buster Torpedos,3.0,https://www.twitch.tv/videos/2425144861?t=1m46s,https://www.twitch.tv/videos/2425144861?t=4m46s
1,B,Kanvas,Ghost,BUG HUNTER: Push 4 bugs into pits,7.2,https://www.twitch.tv/videos/2425144861?t=4m46s,https://www.twitch.tv/videos/2425144861?t=11m56s
1,B,Kanvas,Ghost,WALDORF’S JOURNEY: Purchase four unique items in one run,0.0,https://www.twitch.tv/videos/2425144861?t=11m56s,https://www.twitch.tv/videos/2425144861?t=11m56s
1,B,Ghost,Kanvas,CAMPANELLA: Have 15 lives,7.2,https://www.twitch.tv/videos/2425144861?t=4m46s,https://www.twitch.tv/videos/2425144861?t=11m56s
1,B,Kanvas,Ghost,WARPTANK: Beat Healing Sector,9.7,https://www.twitch.tv/videos/2425144861?t=11m56s,https://www.twitch.tv/videos/2425144861?t=21m36s
1,B,Ghost,Kanvas,STAR WASPIR: Have a 20x multiplier,9.7,https://www.twitch.tv/videos/2425144861?t=11m56s,https://www.twitch.tv/videos/2425144861?t=21m36s
1,B,Kanvas,Ghost,VALBRACE: Defeat the crone,11.7,https://www.twitch.tv/videos/2425144861?t=21m36s,https://www.twitch.tv/videos/2425144861?t=33m16s
1,B,Kanvas,Ghost,GOLFARIA: Obtain the Brakes,0.0,https://www.twitch.tv/videos/2425144861?t=33m16s,https://www.twitch.tv/videos/2425144861?t=33m16s
1,B,Kanvas,Ghost,PINGOLF: Score under par on 5 courses,6.3,https://www.twitch.tv/videos/2425144861?t=33m16s,https://www.twitch.tv/videos/2425144861?t=39m36s
